time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-7200,35.4,36.45,34.95,35.75,34.900190520683665,45.23323184369219,62.91307777410383,NaN,NaN,NaN,NaN,NaN,NaN,58.79728120274487
15627600,35.75,39.3,35.5,37.65,35.008026186539205,54.60325032087763,63.06673028392534,NaN,NaN,NaN,NaN,NaN,NaN,50.59914224534234
31528800,37.75,41.55,37.7,40.4,35.219476140008254,64.49448962139822,63.92689988664118,NaN,NaN,NaN,NaN,NaN,NaN,47.59099781251084
47163600,40.55,44.25,40.5,43.85,35.55792805608636,72.84502441612167,65.22629908704701,NaN,NaN,NaN,NaN,NaN,NaN,48.33815981831927
63237600,44.3,65.15,44.3,64.95,36.7105583283967,89.62841266969313,67.82359467205632,NaN,NaN,NaN,NaN,NaN,NaN,55.779877341156826
78958800,65.8,70.3,60.65,65.2,37.82779133512624,89.71315927603398,70.28984219390135,NaN,NaN,NaN,NaN,NaN,NaN,62.247799012708136
94687200,65.4,126.3,64.2,123.55,41.189446576886,96.72967434857622,73.16161308212476,NaN,NaN,NaN,NaN,96.72967434857622,NaN,69.10336526755042
110408400,121.3,126.45,90.3,112.3,43.97809573073361,84.26325171848845,74.99384663676317,NaN,NaN,NaN,NaN,NaN,NaN,74.58946057423242
126223200,116.8,179.8,116.8,144.55,47.92209197658719,88.88360970209699,77.10382625306805,NaN,NaN,NaN,NaN,NaN,NaN,79.33353075050924
141858000,143.3,195.5,134.3,186.75,53.36632366377985,92.2383016298552,79.45342672135565,NaN,NaN,NaN,NaN,NaN,NaN,83.18239569686888
157759200,184,189,160,167.8,57.85391881421986,80.03644462504519,78.23121831942697,NaN,NaN,NaN,NaN,NaN,NaN,86.2614876539566
173394000,168.3,175.4,129,141,61.11454944895634,66.12007188220542,76.01491132185275,NaN,NaN,NaN,NaN,NaN,NaN,75.67691129706944
189295200,140.8,141.5,123.4,123.9,63.57672398036981,58.783284227087954,73.26205053122986,NaN,NaN,58.783284227087954,NaN,NaN,NaN,65.36753947202791
205016400,123.6,141,100,135.7,66.4050877458455,62.05215789610914,74.68745458409153,NaN,NaN,NaN,NaN,NaN,NaN,54.049306056403346
221090400,135.5,154.7,127.5,143.6,69.43233920679275,64.19116651027537,76.04159277456175,NaN,NaN,NaN,NaN,NaN,NaN,45.01906114904677
236552400,143.5,169.9,140.5,167.5,73.2781298261342,69.95510649019683,77.13815392951312,NaN,NaN,NaN,NaN,NaN,NaN,41.14563229044516
252540000,169.9,192.8,165.5,183.7,77.60839924471718,73.23975563960255,77.76281578795628,NaN,NaN,NaN,NaN,NaN,NaN,41.8719404491928
268261200,184.5,249.4,183.2,229,83.54532476453218,80.08787871420289,78.28016252353352,NaN,NaN,NaN,NaN,NaN,NaN,47.34372096143229
283989600,229.1,287.5,216.6,283.8,91.39844928357013,85.23135737525578,77.96608714535942,NaN,NaN,NaN,NaN,NaN,NaN,53.3916406930994
299710800,284.3,543,282.3,541,109.02988264499875,93.75242340740539,78.25460601188595,NaN,NaN,NaN,NaN,NaN,NaN,61.34456125547748
315525600,566,873,453,654,130.40125979617528,95.13873945177833,78.14096780497182,NaN,NaN,NaN,NaN,95.13873945177833,NaN,68.4304937218603
331246800,670,748.5,558,599.5,148.79728882377626,84.91508651379525,78.18752743320803,NaN,NaN,NaN,NaN,NaN,NaN,74.09923969496654
347148000,593.5,612,427,428.5,159.76602259539288,61.56319803758754,76.23606945717164,NaN,NaN,NaN,NaN,NaN,NaN,68.91616781015479
362782800,426.5,482.5,392.5,402.8,169.29676680733826,58.827867629953424,73.84960988575008,NaN,NaN,NaN,NaN,NaN,NaN,62.54164374337676
378684000,399,411,297.5,317.8,175.12042301097205,50.48213182144669,71.7385875426359,NaN,NaN,NaN,NaN,NaN,NaN,51.80753748755067
394318800,314,509,308.3,453,186.01766132426727,60.5076124956031,71.33769758645003,NaN,NaN,NaN,NaN,NaN,NaN,47.03922097955303
410392800,455,520,401,418.5,195.13461578213915,57.18398308713882,71.22346179073938,NaN,NaN,NaN,NaN,NaN,NaN,43.63602109639728
425854800,419.5,441,373,388,202.69796418283957,54.22181373877371,70.66415149378685,NaN,NaN,NaN,NaN,NaN,NaN,38.747226927084796
441842400,385.5,410.5,362.5,376.1,209.49804401880664,53.016374969748306,69.86595209803491,NaN,NaN,NaN,NaN,NaN,NaN,33.94033690136836
457563600,373,374.3,306.6,309.7,213.42753248865736,46.523761146742316,68.19228457350245,NaN,NaN,46.523761146742316,NaN,NaN,NaN,28.799516880585042
473378400,307,338.6,282.6,317.7,217.5166488616512,47.396923727257644,66.34636800833495,NaN,NaN,NaN,NaN,NaN,NaN,26.466255174812016
489013200,317.1,350.2,308.3,331.1,221.97089792590018,48.967112041566516,64.12345610314665,NaN,NaN,NaN,NaN,NaN,NaN,23.30331664022979
504914400,329.8,369.5,328,347.7,226.9014509484139,51.00530577425568,61.67873813164664,NaN,NaN,NaN,NaN,NaN,NaN,18.796332877113755
520549200,348.2,446.5,343.3,406.9,233.96021757788785,57.771804181439705,59.10869390122052,NaN,NaN,NaN,NaN,NaN,NaN,21.934552398003824
536450400,406.5,481.5,391.4,452.2,242.5186404179707,62.25883684246725,56.76012942912687,NaN,NaN,NaN,NaN,NaN,NaN,26.56544855994699
552085200,451.5,507.4,442.5,488.9,252.18065451922675,65.59116006499781,55.379848968498486,NaN,NaN,NaN,NaN,65.59116006499781,NaN,31.700038599988655
567986400,484,488.5,425.1,437.7,259.4559229694531,57.60806104348608,55.09733918320552,NaN,NaN,NaN,NaN,NaN,NaN,32.806762145241954
583707600,438.5,449,395.5,412.3,265.44980834320006,53.94381885565585,54.748478556469976,NaN,NaN,NaN,NaN,NaN,NaN,28.93647178962344
599695200,416.1,416.3,360.5,377.3,269.83609036895695,49.10221911930253,54.64991336345968,NaN,NaN,NaN,NaN,NaN,NaN,25.08446460869813
615416400,379.5,424.2,360.6,405.2,275.144478981939,52.89374847178724,54.10606593318711,NaN,NaN,NaN,NaN,NaN,NaN,20.809680006583413
631144800,401,430.3,348.2,359.9,278.4682249042159,46.558533088027694,53.34710521896489,NaN,NaN,NaN,NaN,NaN,NaN,19.24695444727281
646866000,359.5,425,352,396.2,283.0851572609133,51.76648425314062,53.17172454141967,NaN,NaN,NaN,NaN,NaN,NaN,17.996773999824327
662680800,395.1,406.9,352.6,370,286.4935824663677,47.97061692169937,52.811313252273315,NaN,NaN,NaN,NaN,NaN,NaN,16.99662964186554
678315600,370.2,374.9,346,353.9,289.1369713892552,45.656212032723595,52.749345458414844,NaN,NaN,NaN,NaN,NaN,NaN,17.7819817627022
694216800,351.2,361.5,334.9,344.4,291.30414898183346,44.239364349851904,52.523805502885864,NaN,NaN,NaN,NaN,NaN,NaN,20.952664125463016
709938000,345.1,362,328.9,333.1,292.943201962938,42.475484535692466,52.06011782389486,NaN,NaN,42.475484535692466,NaN,NaN,NaN,24.789644852559782
725839200,329.1,384.5,325.8,379.2,296.3258214938032,51.37375929854629,52.08643593277276,NaN,NaN,NaN,NaN,NaN,NaN,20.625119820635152
741474000,378.9,414,343,391.9,300.0738284940462,53.59830829124875,51.7883290834734,NaN,NaN,NaN,NaN,53.59830829124875,NaN,23.82913942022989
757548000,391.9,397.9,369.5,387.3,303.4944626707503,52.617446802639805,51.099658366342865,NaN,NaN,NaN,NaN,NaN,NaN,26.39235509990568
773010000,386.8,401.9,377.7,384.4,306.6672288405248,51.94326268877506,50.12480855375552,NaN,NaN,NaN,NaN,NaN,NaN,29.294992118362117
