time,open,high,low,close,EMA,EMA,EMA,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1716582900,2333.885,2334.41,2333.855,2334.005,2335.378574867208,2334.036563384939,2334.5356037569877,37.12780391435263,49.68738586178861,50.048920578413174,NaN,NaN,NaN,NaN,NaN,NaN
1716583200,2334.005,2334.8,2334.005,2334.32,2335.355309485511,2334.0623303499447,2334.527148707694,36.49036791562201,53.55954716523186,51.29637608321376,NaN,NaN,NaN,NaN,NaN,NaN
1716583500,2334.32,2334.645,2334.195,2334.44,2335.335192793522,2334.096663954495,2334.5237311113137,35.980419116637506,55.024686537875695,52.196215979071454,NaN,NaN,NaN,NaN,NaN,NaN
1716583800,2334.44,2335,2333.745,2333.82,2335.3018918530047,2334.0715126859045,2334.496133812831,31.270668714143255,46.5871351306847,52.27181885638133,NaN,NaN,46.5871351306847,NaN,NaN,NaN
1716584100,2333.82,2334.225,2333.33,2334,2335.2732788452463,2334.0650115326403,2334.4766775848766,32.49880903570691,49.10466779604303,52.7564511421877,NaN,NaN,NaN,NaN,NaN,NaN
1716760800,2334,2336,2334,2336,2335.2892507387573,2334.2409195751275,2334.536415718803,35.11544179482982,67.82634147020462,54.0556911191581,NaN,NaN,NaN,NaN,NaN,NaN
1716761100,2336,2337.31,2335.73,2337.055,2335.328058414829,2334.4967450682975,2334.6351837298303,41.10309496210984,73.53267035458,55.65101618801405,NaN,NaN,NaN,NaN,73.53267035458,NaN
1716761400,2337.055,2337.395,2336.8,2336.915,2335.3629362518654,2334.716586425725,2334.724588289445,46.09033543909488,71.65871839301865,56.54412624662671,NaN,NaN,NaN,NaN,NaN,NaN
1716761700,2336.915,2337.6,2332.285,2334.315,2335.3399046858904,2334.680078568841,2334.708526003584,45.312038840351576,46.96243777223163,55.882255441289765,NaN,NaN,NaN,NaN,NaN,NaN
1716762000,2334.315,2335.56,2333.64,2335.245,2335.337818868618,2334.731435062583,2334.729564199522,44.68940156135693,53.35189040132263,55.916320972093374,NaN,NaN,NaN,NaN,NaN,NaN
1716762300,2335.245,2336.405,2334.505,2336.225,2335.3573173550217,2334.8672136932573,2334.788208740717,39.63786695569456,59.1183486062547,56.403535392786814,NaN,NaN,NaN,NaN,NaN,NaN
1716762600,2336.225,2336.615,2335.855,2336.435,2335.381002687878,2335.009739721143,2334.8527887901005,34.46488108191289,60.28719220648185,56.625280932562134,NaN,NaN,NaN,NaN,NaN,NaN
1716762900,2336.435,2340.025,2336.26,2338.22,2335.4433982332,2335.3015815646754,2334.9848362885277,35.97260541673246,68.73069448225942,57.40274881350793,NaN,NaN,NaN,NaN,NaN,NaN
1716763200,2338.22,2340.75,2338.22,2339.065,2335.522993876426,2335.6437105133414,2335.1448427085857,38.515835924476974,71.87588446217762,59.09340004572535,NaN,NaN,NaN,NaN,NaN,NaN
1716763500,2339.065,2339.25,2338.255,2338.79,2335.594796208812,2335.9297368303105,2335.287790053347,40.55042033067258,69.35339226496748,60.49811478880956,NaN,NaN,NaN,NaN,NaN,NaN
1716763800,2338.79,2339.015,2338.45,2339.015,2335.669965522904,2336.2102153002825,2335.4339551492944,42.17808785562906,70.30093059196354,61.69392789071896,NaN,NaN,NaN,NaN,NaN,NaN
1716764100,2339.015,2340.35,2338.945,2340.345,2335.77271353339,2336.586104818439,2335.6265451434397,46.4877524424746,75.31388483349093,63.14315634040577,NaN,NaN,NaN,NaN,75.31388483349093,NaN
